"numberUserBestAnswer";"periodAnswer"
"1";"1"
"31";"6"
"36";"7"
"36";"8"
"31";"9"
"42";"10"
"30";"11"
"29";"12"
"26";"13"
"26";"14"
"31";"15"
"21";"16"
"24";"17"
"17";"18"
"37";"19"
"38";"20"
"32";"21"
"22";"22"
"31";"23"
"33";"24"
"30";"25"
"37";"26"
"37";"27"
"25";"28"
"34";"29"
"41";"30"
"33";"31"
"47";"32"
"45";"33"
"47";"34"
"41";"35"
"45";"36"
"35";"37"
"48";"38"
"47";"39"
"54";"40"
"48";"41"
"46";"42"
"41";"43"
"46";"44"
"48";"45"
"61";"46"
"57";"47"
"63";"48"
"50";"49"
"41";"50"
"59";"51"
"51";"52"
"64";"53"
"59";"54"
"60";"55"
"59";"56"
"56";"57"
"56";"58"
"15";"59"
