"expertsBestAnswer";"periodAnswer"
"1";"1"
"30";"6"
"35";"7"
"32";"8"
"29";"9"
"35";"10"
"25";"11"
"26";"12"
"26";"13"
"26";"14"
"27";"15"
"18";"16"
"22";"17"
"15";"18"
"30";"19"
"32";"20"
"23";"21"
"21";"22"
"26";"23"
"28";"24"
"26";"25"
"30";"26"
"30";"27"
"23";"28"
"27";"29"
"31";"30"
"29";"31"
"34";"32"
"34";"33"
"34";"34"
"33";"35"
"35";"36"
"29";"37"
"37";"38"
"37";"39"
"41";"40"
"36";"41"
"38";"42"
"36";"43"
"39";"44"
"40";"45"
"52";"46"
"43";"47"
"55";"48"
"41";"49"
"37";"50"
"43";"51"
"42";"52"
"45";"53"
"43";"54"
"47";"55"
"36";"56"
"37";"57"
"36";"58"
"13";"59"
