Month,Experts,Others
1,1,0
6,0.97,0.03
7,0.97,0.03
8,0.89,0.11
9,0.94,0.06
10,0.83,0.17
11,0.83,0.17
12,0.9,0.1
13,1,0
14,1,0
15,0.87,0.13
16,0.86,0.14
17,0.92,0.08
18,0.88,0.12
19,0.81,0.19
20,0.84,0.16
21,0.72,0.28
22,0.95,0.05
23,0.84,0.16
24,0.85,0.15
25,0.87,0.13
26,0.81,0.19
27,0.81,0.19
28,0.92,0.08
29,0.79,0.21
30,0.76,0.24
31,0.88,0.12
32,0.72,0.28
33,0.76,0.24
34,0.72,0.28
35,0.8,0.2
36,0.78,0.22
37,0.83,0.17
38,0.77,0.23
39,0.79,0.21
40,0.76,0.24
41,0.75,0.25
42,0.83,0.17
43,0.88,0.12
44,0.85,0.15
45,0.83,0.17
46,0.85,0.15
47,0.75,0.25
48,0.87,0.13
49,0.82,0.18
50,0.9,0.1
51,0.73,0.27
52,0.82,0.18
53,0.7,0.3
54,0.73,0.27
55,0.78,0.22
56,0.61,0.39
57,0.66,0.34
58,0.64,0.36
59,0.87,0.13
